Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
061328805036,SCOTTIES,HEALTH & BEAUTY,1.99,2.25,2.25,2.54,-0.26,price landed on the wrong product
016600000395,SCHWEPPES 2LT,DRINKS,3.99,4.51,4.29,4.85,-0.30,price landed on the wrong product
016600000760,Schweppers Ginger ale,DRINKS,3.99,4.51,2.99,3.38,1.00,price landed on the wrong product
6939535768113,SBK Knee support,HEALTH & BEAUTY,5.50,6.22,3.99,4.51,1.51,price landed on the wrong product
056910605064,Sapporo 6 pk,Beer,2.25,2.54,22.89,25.79,-20.64,price landed on the wrong product
834605003834,Saniblend Cleaner,GROCERY,4.29,4.85,14.99,16.94,-10.70,price landed on the wrong product
060410079478,salt nd vinegar lays,CHIPS,2.99,3.38,4.99,5.64,-2.00,price landed on the wrong product
061900068118,Sail Deluxe Pipe Tobacco 50 g,TOBACCO,3.99,4.51,35.40,40.00,-31.41,price landed on the wrong product
061900074003,sail classic,TOBACCO,22.89,25.87,13.72,15.50,9.17,price landed on the wrong product
859162007583,RXBAR,"CANDY,GUMS & CHOCOLATES",14.99,16.94,2.21,2.50,12.78,price landed on the wrong product
